Poverb,Tag
Не из тучи гром грянул.,Расплох
Не из чести переносят вести.,Сплетни
Не избывай постылого — потеряешь милого.,Постылый
"Не изведан — друг, а изведан — два.",Друг
"Не измерив броду, не лезь в воду.",Не
"Не имей сто рублей, а имей сто друзей.",Друг
"Не имя красит человека, а человек имя.",Имена
"Не искал бы вину в селе, а искал бы ее в себе.",Вина
"Не испытав броду, не суйся в воду.",Испытание
"Не испытав, не узнаешь.",Испытание
Не ищи беды: беда сама тебя сыщет.,Беда
"Не ищи красоты, ищи доброты.",Поиск
"Не ищи мудрости, ищи простоты.",Простота
"Не ищи обетованные края — они там, где Родина твоя, Новгород — отец, Киев — мать, а Москва — сердце.",Родина
"Не ищи проселочной, когда есть столбовая. ",Дорога
"Не к месту печальна, не к добру весела.","Вежливость, Веселье, Печаль"
Не к рукам цимбалы достались.,Непонятливость
"Не к урожаю идут, а урожай ведут.",Урожай
"Не каждый в долг даст, да не каждый и отдаст.",Долг (займ)
"Не кивай на соседа, а погляди на себя.",Глядеть
"Не кивай пальцем, сам будешь старцем.",Старость
Не кидай камень в чужой огород.,Чужое
Не кидай ломаного шкворня: на чеку пригодится.,Бережливость
"Не кичись, а учись.",Учение
Не клади волку пальца в рот.,"Бдительность, Волк, Осторожность"
"Не клади плохо, не вводи вора в грех.",Бесхозяйственность
Не кланяюсь бабушке Варваре: свое есть в амбаре.,Свое
"Не клей держит, а рубанок.",Плотник
"Не кнутом, так пряником.",Не
"Не козырист парень, да находчив.",Находчивость
"Не копьем побивают, а уловкой.",Уловка
"Не копьем побивают, а умением.",Уменье
"Не копьем побивают, а умом.",Ум
"Не корми завтраками, а сделай сегодня.",Завтра
"Не корми меня тем, чего я не ем.",Еда
"Не кормя коня, далече не уедешь.",Езда
"Не корова, так и не мычи.",Корова
"Не косцу трава, а траве косец.",Косить
"Не котел варит, а стряпуха.",Стряпуха
"Не красивый, а спесивый.",Спесь
"Не красна жизнь днями, а красна боевыми делами.",Жизнь
"Не красна изба углами, а красна пирогами.",Дом
"Не красна изба углами, а красна трудоднями.",Трудодень
"Не красна изба углами, красна пирогами.",Внешность
"Не красна книга письмом, красна умом.",Книга
"Не красна старость годами, а делами.",Старость
Не криви душой.,Душа
Не кричи о себе — пусть другие о тебе хоть тихо скажут.,Бахвальство
"Не кстати печальна, не к яйцу весела.",Лицо
"Не кует железа молот, кует кузнец.","Кузнец, Ремесло"
"Не купи двора, купи соседа.",Сосед
"Не купи дом, а купи соседа.",Дом
"Не купи лошади слепой, так не споткнется ногой.",Спотыкаться
"Не купив коровы, да завел подойник.",Преждевременность
"Не купил батька рукавички, так пусть же руки мерзнут.","Бессилие, Упрямство"
"Не ладно скроен, да крепко сшит.","Крепкий, Сила"
"Не лезь в волки, коли хвост телки.",Волк
Не лезь в калачный ряд с суконным рылом.,"Не, Осторожность"
Не лезь вперед батьки в пекло.,Не
Не лезь вперед и сзади не оставайся.,Люди
Не лезь на рожон.,"Не, Осторожность"
Не лезь раньше батьки в пекло.,Осторожность
Не лезь со своим уставом в чужой монастырь.,Свое
Не ленись с плужком — будешь с пирожком.,Пахать
"Не ленись, а трудись, на чужое не льстись.",Труд
"Не летит пчела от меду, а летит от дыму.",Пчела
"Не ловец, да молодец.",Ловля
"Не ломай печей, пока апрель у плечей.",Апрель
"Не ломай печи, еще апрель на дворе.",Апрель
"Не ломайся, кисель: не лучше людей.",Зазнайство
"Не лошадь везет, а корм.",Корм
"Не люби друга потаковщика, люби встречника.","Друг, Потачка"
"Не любить — горе, а влюбиться — вдвое.",Любовь
"Не любо — не знайся, не хочешь — не водись.",Водиться
"Не любо — не смейся, а другим не мешай.",Смех
"Не лягнет, так куснет.",Драка
"Не мели языком, а коли штыком.",Штык
"Не место красит человека, а человек место.",Место
Не мечи бисер перед свиньей.,Свинья
"Не мил и вольный свет, когда милого друга нет.",Милый
"Не мил и свет, когда друга нет.",Друг
"Не много думано, да хорошо сказано.",Думать
Не много синичка из моря выпьет.,Синица
"Не множество, а храбрость побеждает.",Храбрость
"Не мокра бы губка, была бы и шубка.",Алкоголизм
"Не моли лета долгого, а моли теплого.",Лето
"Не молот железо кует, а кузнец, что молотом бьет.",Кузнец
"Не молчи, когда нужно говорить.",Молчание
"Не море топит корабли, а ветры.","Ветер, Море"
"Не мудрено начать, мудрено кончать.",Начало
"Не мудрые люди, а мудрую пословицу сложили.",Пословица
"Не мути воду, случится черпать. (не клевещи)",Клевета
"Не мутясь, и море не становится.",Море
Не мухи переносят слухи.,Слухи
Не мытьем — так катаньем.,Назойливость
"Не мытьем, так катаньем.",Не
"Не мычит, не телится.",Ни… ни…
"Не на бумаге сказано, а делом показано.",Дело
Не на всякую штучку протягивай ручку.,Брать
"Не на пользу книги читать, когда только вершки в них хватать.",Книга
Не на себя пчела работает.,Пчела
"Не на то родился, чтоб на плохой женился.",Жениться
"Не надевай хомута с хвоста, не начинай дела с конца.",Начало
Не надейся на авось.,Судьба
Не надейся на чужую совесть.,Надежда
"Не надейся, Роман, на чужой карман.",Чужое
"Не надо на бабку злиться, еще пригодится.",Родня
"Не надо хвалиться, коли не знаешь, как рожь родится.",Рожь
"Не надобен и клад, коли у мужа с женой лад.",Муж
"Не надобен и клад, коли у мужа с женою лад.",Супруги
Не найти днем с огнем.,Поиск
"Не накормив коня, далеко не уедешь.",Корм
"Не нам судить попов, на то черти есть.",Черт
"Не нам судьба — судья, а мы судьбе — хозяева.",Судьба
Не наряд жену красит — домостройство.,Жена
"Не насытится око зрением, а ум богатством.",Алчность
"Не насытится око зрением, а человек — знанием.",Знания
"Не начавши — думай, а начавши — делай.",Начало
"Не наша еда орехи, а наша — каша.",Каша
Не наше дело попа каять: на то есть другой поп.,Поп
Не ножа бойся — языка!,Язык
Не ножа бойся — языка.,Слово
"Не ной, лучше песню пой.",Нытик
"Не нужно и барыша, была бы слава хороша.",Слава
"Не о ком заботиться, нечего и печалиться.",Забота
"Не о том речь, что некуда лечь, а о том речь, что нечем печь.",Речь
"Не оберешься преград, коли в кресле сидит бюрократ.",Бюрократ
"Не обещай на завтра, что можно сделать сегодня.",Обещание
"Не обижайся, лень, на трудодень, будем кушать — посиди у порожка.",Трудодень
Не обманешь — не продашь.,Продажа
"Не обычай дегтем щи белить, на то сметана.",Обычай
"Не огонь железо калит, а мех.",Кузнец
"Не одежда красит человека, а человек одежду.",Одежда
"Не одна блоха кусается, видно много развелось.","Много, Один"
"Не одни лапти черт сплел, пока их вместе свел.",Муж
"Не он помер: смерть его померла, да и его с собой унесла.",Смерть
"Не оставляй на завтра дела, а оставляй хлеба.","Завтра, Запас"
Не от добра дерево листья роняет.,Дерево
"Не от скудости скупость пошла, а от богатства.",Алчность
"Не отведав горького, не поешь и сладкого.",Хорошее
"Не отведав горя, не познаешь и счастья.",Счастье
"Не откладывай на завтра то, что можно сделать сегодня.",Завтра
"Не откладывай на завтра, что можешь сделать сегодня.",Откладывание
"Не отнекаешься, как улики налицо.",Отнекивание
"Не отсохнет голова, вырастет и борода.","Болезнь, Горе"
Не отступай ни в жизнь — держись.,Отступление
"Не ошибается тот, кто ничего не делает.",Ошибка
"Не ощипал, да и теребить стал.",Преждевременность
"Не пей, кума, дарового вина: придется дороже купленного.",Подарки
"Не пей, не ешь, а держи святой рубеж.",Граница
"Не пеняй на соседа, когда спишь до обеда.",Праздность
"Не пеняй на суховей, работать умей.",Засуха
"Не переведя духу, дальше ворот не убежишь.",Торопливость
Не песнями же коней кормят.,Песня
"Не петь бы рано пташечке, не съела б кошечка.",Тщеславие
"Не печь кормит, а нивка.","Печь, Поле"
"Не печь кормит, а руки.",Руки
"Не пил бы, не ел, все б на милую глядел.",Милый
"Не пиры пировать, коли хлеб засевать.",Сев
"Не пить, не гулять, куда деньги девать.",Пьяница
"Не платит богатый, платит виноватый.",Вина
"Не плачет малый, не горюет убогий, а плачет и горюет вдовый.",Вдовство
"Не плачь, козявка, только сок выжму.",Утешение
"Не плачь, куплю калач.",Слезы
"Не плачь, рыбка, дай крючок из жабер вынуть.",Лицемерие
Не плюй в колодец — напиться придется.,Не
"Не плюй в колодец, пригодится воды напиться.",Клевета
Не плюй в колодец: пригодится воды напиться.,"Осторожность, Предусмотрительность"
Не по Сеньке кафтан.,Недосягаемое
Не по Сеньке шапка.,Недосягаемое
Не по Соньке санки.,Недосягаемое
Не по весам гири.,Недосягаемое
"Не по виду суди, а по делам гляди.",Внешность
Не по вопросу ответ.,Ответ
Не по голосу песню затянули.,Недосягаемое
Не по две морошки в ложку.,Алчность
"Не по дням, а по часам.","Быстрый, Час"
"Не по дому хозяин, а по хозяину дом.",Хозяин
"Не по милу хорош, а по-хорошему мил.",Милый
Не по наживе еда — видимая беда.,Мотовство
Не по носу табак.,Не
"Не по отцу почет, а по уму.",Почет
Не по печке заслонка.,Недосягаемое
Не по плечам кафтан.,Недосягаемое
"Не по постройке дом, а по хозяину ценится.",Хозяин
Не по ризе монах.,Недосягаемое
Не по себе дерево клонишь.,Недосягаемое
Не по семье хлеб режешь.,Недосягаемое
Не по старцу ломоть.,Недосягаемое
"Не по сути дело, а по делу суть.",Дело
Не по уму за дело хватаешься.,Недосягаемое
"Не по хорошу мил, а по милу хорош.",Милый
Не по человеку спесь.,Спесь
Не по чину берешь (Н. Гоголь).,Взятки
"Не по-хорошему мил, а по-милу хорош.",Хорошее
"Не повелевай, прежде чем не научишься повиноваться.",Начальник
"Не поворчав, кошка куска не съест.",Ворчливость
"Не поглядев в святцы, да бух в колокол.",Наобум
"Не поглядев на пирог, не говори, что сыт.",Пирог
Не под дождем — подождем.,"Ждать, Терпение"
"Не под силу воз, так и гужи пополам.","Непосильное, Сила"
Не под тот угол клин колотишь.,Недосягаемое
"Не подарок мил, а внимание.",Подарки
Не подбивай клин под овсяный блин: поджарится и сам отвалится.,Блин
Не поддавайся на пчелкин медок: у нее жальце в запасе.,"Бдительность, Лесть"
"Не поддавайся хвастовству, учись военному мастерству.",Учение
Не поддергивай: и так коротко.,Коротко
Не подмажешь — не поедешь.,Взятки
"Не подстрелив ясного сокола, рано перья щипать.",Преждевременность
"Не подумавши, ничего не начинай.",Думать
Не подымай носа — споткнешься.,Зазнайство
Не подымай носа — спотыкнешься.,Тщеславие
Не пожалеешь трудов — снимешь с гектара двести пудов.,Труд
"Не пожить тех дней, что прошли.",Безвозвратное
"Не пойдешь по-хорошему, поведут по-плохому.",Хорошее
Не поймавши — щиплет.,Преждевременность
Не поймал карася — поймаешь щуку.,Терпение
"Не поймали вора сегодня, поймают завтра.",Вор
Не пойман — не вор!,Воровство
"Не поклонясь до земли, и грибка не подымешь.",Труд
"Не поле родит — загон, не игла шьет, а руки.",Руки
"Не поле родит, а нивка.",Поле
"Не поле родит, а удобрение; не игла шьет, а рука.",Удобрение
"Не положа, не ищут.",Поиск
Не поминай плешивого перед лысым гостем.,"Лысый, Плешь"
"Не поможет рвение, если нет умения.",Уменье
"Не попадешь на подвох, враг не возьмет врасплох.",Враг
Не пора ли гостям по домам.,Гость
Не посмотрев на святцы да бух в колокол.,Преждевременность
"Не посмотришь—не увидишь, не расспросишь — не найдешь.",Разведка
Не постой за бугорок — враг в страну нагрянет.,Стойкость
Не постой за волосок — бороды не станет.,"Оборона, Стойкость"
Не постой за кроху — и ломтя не станет.,Стойкость
Не потопаешь и не полопаешь.,Не
"Не потрудиться, так и хлеба не добиться.",Труд
"Не потчуй меня тем, чего я не ем.",Гость
Не похвалишь — не продашь.,Продажа
"Не прав медведь, что корову зарезал, неправа и корова, что в лес пошла.",Медведь
"Не презирай совета ничьего, а прежде выслушай его.",Совет
"Не приведись голодному обед варить, а трусу — воином быть.",Трусость
Не прикидывайся овцою — волк съест.,"Лицемерие, Овца"
Не прикидывайся овцою: волк съест.,Симулянт
"Не припасши места, не садись.",Место
"Не припасши снасти, требует сласти.",Преждевременность
"Не припася основы, ткать не садись.",Преждевременность
"Не припася основы, ткать не садятся.","Подготовленность, Ремесло"
"Не про господ, а про свой расход.",Баре
"Не продашь, так дашь на дашь.",Продажа
"Не пройми копьем, пройми языком!",Язык
"Не проси лета долгого, проси теплого.",Лето
"Не проси у богатого, проси у тороватого.","Просить, Щедрость"
"Не просит ремесло хлеба, а само кормит.",Ремесло
Не пугай зима; весна придет.,Зима
Не пугай сокола вороной.,Сокол
"Не пугай щуку морем, а нагого — горем.",Голь
"Не пуля, а человек из ружья убивает.","Пуля, Ружье"
"Не пускай вора к возу, а кулака — к колхозу.",Кулак
"Не пускай козла к капусте, а лодыря к колхозному амбару.",Лень
"Не пускай козла к капусте, а лодыря — к колхозному амбару.",Лодырь
"Не пускай кулаков в Совет, им там места нет.",Кулак
"Не работа дорога, а умение.",Уменье
"Не равна гречиха, не равна земля.",Гречиха
Не рад больной и золотой кровати.,Болезнь
"Не радуйся нашедши, не плач потерявши.",Радость
Не радуйся под гору: подъем круче.,Преждевременность
"Не разбивши яиц, не сделаешь яичницы.",Труд
Не разгрызть ореха — не съесть и ядра.,Труд
Не разевай рта: ворона влетит.,Разведка
"Не разжевавши, вкуса не узнаешь.",Вкус
"Не раскуся ореха, о зерне не толкуй.",Преждевременность
"Не рассмотрев броду, да бух в воду.",Наобум
Не расти на вербе груше.,Невозможное
Не расти яблочку на елке.,Невозможное
Не реви раньше смерти.,Преждевременность
"Не ревут волы, когда ясли полны.",Корм
"Не рисковать, так и боя не выиграть.",Риск
"Не рискуя, не добудешь.",Риск
"Не робей перед опасностью, а иди ей навстречу.",Робость
"Не робей, а врага бей.",Робость
Не ровен час — всякое бывает.,Час
"Не родись красивой, а родись счастливой.",Красота
"Не родись красивый, а родись счастливый.",Счастье
"Не родись красивым, а родись счастливым.",Красота
"Не родись, дитя, хорошее, а родись талантливое.",Талант
Не родится мак — проживешь и так.,Мак
"Не родом богатырь славен, а подвигом.","Богатырь, Подвиг"
Не рой другому яму — сам в нее попадешь.,Яма
"Не рой другому яму, сам ввалишься.",Друг
"Не рой другому ямы, сам в нее попадешь.",Клевета
Не руби выше головы: щепа глаза запорошит.,Рубить
Не рука крестьянскому сыну калачики есть.,Крестьянин
"Не с богатством жить, а с человеком.","Сватанье, Человек"
Не с одного цветка пчелка мед берет.,Цвет
Не сади дерева корнем кверху.,Садоводство
Не сам еду — нужда везет.,Нужда
Не светит зимой солнце против летнего.,Зима
Не своим голосом кричит.,Крик
Не своротить камня с пути думою.,Думать
Не сей горох подле дорог.,Горох
Не сел — не говори «поехали».,Преждевременность
Не сердись — печенку испортишь.,Сердитый
"Не сиди сложа руки, так и не будет скуки.","Безделье, Руки, Скука"
"Не сиди сложа руки, так не будет и скуки.",Руки
"Не сидит, не пляшет.",Сидеть
Не силен — не борись; не богат — не сердись.,Сердитый
"Не силой борются, а сноровкой.","Сноровка, Уменье"
"Не силой борются, а умением.",Борьба
"Не силой борются, — уменьем.",Драка
"Не силою дерутся, а умением.",Уменье
"Не силою ловец одолевает льва, а тем, что ловчая умнее голова.","Находчивость, Ум"
"Не сказкой, гак лаской.",Не
Не сковать реку зиме без ноября-кузнеца.,Ноябрь
"Не скроив, не сошьешь.","Крой, Невозможное"
Не скупись когда цена — жизнь.,Скупость
"Не слегши, жди скорби; а слегши — смерти.",Смерть
"Не следи за гудком, а следи за станком.",Труд
"Не слово хозяин хозяину, а хозяин слову хозяин.",Слово
"Не слушал начала, так жди конца.",Вежливость
"Не смейся братец, чужой сестрице: своя в девицах.",Смех
Не смейся над старым — сам будешь стар.,Старость
Не смейся ноги свеся; подожми да говори.,Вежливость
Не смейся чужой беде — своя на гряде.,Чужое
Не смейся чужой беде: своя на гряде.,Смех
"Не смейся, горох, кислым щам — не прокисни и сам.",Горох
"Не смейся, горох, над бобами, сам будешь под ногами.",Смех
"Не смейся, горох, над бобами: будешь и ты под ногами.",Тщеславие
"Не смейся, горох, над нами (над бобами): будешь и ты под ногами.",Горох
"Не смейся, горох, не лучше бобов: размокнешь — и сам лопнешь.",Смех
"Не смейся, горох, не лучше грибов, грибы поджарим и тебя отставим.",Горох
"Не смейся, горох, не лучше грибов: грибы поджарим и тебя не оставим.",Тщеславие
"Не смейся, горох, не оскаливай зубов.",Горох
"Не смейся, горох: не лучше бобов — намокнешь и сам лопнешь.","Горох, Тщеславие"
"Не смейся, квас, не лучше нас!",Тщеславие
"Не смейся, квас, не лучше нас.",Смех
Не смерть страшна — позор страшен.,Позор
"Не смеря силы, не подымай вилы.",Преждевременность
"Не сможешь, так отложишь.",Откладывание
"Не смотри на дело, смотри на отделку.",Качество
"Не смотри на начало, смотри конец.",Начало
"Не смотри, как рот дерет, смотри, как дело ведет.",Крик
"Не смотри, как рот дерет, смотри, как дело идет.",Дело
"Не смотря зубов во рту, лошади не покупают.",Лошадь
"Не соблазнит глупый, а соблазнит умный.",Соблазн
Не соврешь — не проживешь.,Ложь
Не согрешишь — не покаешься.,Грех
"Не сошлись обычаем, не быть дружбе.",Обычай
"Не спесь красит человека, а простота.",Простота
"Не спехом дело спорится, а толком.","Спешка, Толк"
Не спеши ехать — спеши кормить.,"Езда, Корм"
"Не спеши карать, а спеши выслушать.",Кара
"Не спеши карать, спеши выслушать.",Суд
"Не спеши на тот свет, там кабаков нет!",Смерть
Не спеши хватать: оботри руки.,Вежливость
"Не спеши языком, поспешай делом.",Слово
"Не спеши языком, торопись делом.","Болтливость, Дело, Торопливость"
"Не спеши, дело передумается — крепче будет.",Передумать
"Не спеши, коза, все волки твои будут.",Суетливость
"Не спеши, коза: все волки твои будут.",Поспешность
Не спи до зари: заря деньгу дает.,Заря
"Не спится, не лежится, все про милого грустится.",Милый
"Не спрашивай старого, спрашивай бывалого.","Бывалый, Опытность"
"Не спрашивай, пьет ли, спрашивай, каков во хмелю.",Хмель
"Не спустим растрату ни свату, ни брату.",Растрата
Не сробеешь — так врага одолеешь.,Робость
"Не срубишь дуба, не отдув губы.",Рубить
"Не срывай яблока, пока зелено; созреет — само упадет.",Яблоко
Не ставь всего на одну карту.,Риск
"Не ставь недруга овцою, а ставь его волком.",Недруг
Не ставь неприятеля овцою — ставь его волком.,Враг
"Не ставь неприятеля овцою, ставь его волком.",Неприятель
"Не стоит алтына, а тянется за полтиной.",Высокомерие
"Не стоит гроша Пахом, а смотрит пятаком.",Зазнайство
"Не стой надо мной, как черт над душой.",Назойливость
"Не стой позади лошади, если не знаешь ее нрава.",Нрав
"Не стой, как поп, а залезай в окоп.",Окоп
"Не столь дотошный, сколь суматошный.",Суетливость
"Не столько впереди дней, сколько барских затей.",Баре
"Не столько дрался, сколько боялся.",Испуг
"Не столько молотил, сколько себе цепом голову колотил.",Неопытность
"Не столько смертей, сколько болестей.",Болезнь
"Не столько соображает, сколько воображает.",Зазнайство
"Не страшен мороз, когда за спиной колхоз.",Колхоз
"Не страшен мороз, когда тепло укрыт нос.",Январь
Не страшись да и не хвались.,Хвалиться
"Не страшись, да и не хвались.","Похвальба, Смелость, Страх, Трусость"
"Не страшна врагов туча, если армия могуча.",Армия
"Не страшна зима, коли есть корма.",Корм
"Не страшны ссоры, где мирятся скоро.",Ссора
"Не стращай началом, покажи конец.",Начало
Не стращай утку водой.,Страх
Не стращай: придет смерть и без твоих гроз.,Смерть
"Не ступай, собака, на волчий след: оглянется — съест.",Осторожность
Не стучи: сидит дед на печи.,Стук
"Не стыдись говорить, коли правду хочешь объявить.",Правда
"Не стыдно молчать, когда нечего сказать.",Стыд
Не стыдно не знать — стыдно не учиться.,Учение
"Не стыдно не знать, стыдно не учиться.",Учение
"Не суди по приезду, суди по отъезду.",Конец
Не судись: лапоть дороже сапога станет.,Суд
Не суети человека — собьешь с толку.,Суетливость
"Не суетись — засуетишься, все навыворот сделаешь.",Суетливость
Не суйся в волки с телячьим хвостом.,Неопытность
"Не суйся в волки, когда хвост телкин.",Волк
"Не суйся, пятница, прежде четверга.",Поспешность
"Не сули в год, давай поскорее в рот.",Сулить
"Не сули журавля в год, а хоть синичку, да в рот.",Журавль
"Не сули журавля в небе, а дай синицу в руки.",Сулить
"Не сули лапти сплесгь, не подравши лыка.",Сулить
"Не сули с гору, а подай в пору.",Сулить
"Не сули собаке пирога, а кинь краюху.",Сулить
"Не сули чужой полтины, дай свой алтын.",Сулить
"Не считай звезды, а гляди в ноги: ничего не найдешь, так хоть не упадешь.",Тщеславие
"Не считай утят, пока не вывелись.",Утка
"Не считай утят, пока не вылупились.",Преждевременность
"Не съест собака не потаскавши, а кошка — не поворчавши.",Собака
"Не та дружба сильна, что в словах заведена, а та, что в бою скреплена.",Дружба
"Не та дружба сильна, что в словах заведена, а та, что делом скреплена.",Дружба
"Не та земля дорога, где медведь живет, а та, где курица скребет.",Земля
"Не та мать, которая родила, а та мать, которая вырастила.",Мать
"Не та мать, что родила, а та мать, что вскормила.",Дети
"Не та мать, что родила, а та, что взрастила.",Мать
"Не та мила, что хороша, а та хороша, что к сердцу пришла.",Милый
"Не та мина страшна, что воет, а та, что землю роет.",Мина
"Не та пуля страшна, что летит, а та, что в дуле сидит.",Пуля
"Не та родна дочь, что бежит от дела прочь, а та дочь родна, что на всякой работе видна.",Дочь
"Не та рука плоха, что держит свое, а та, что тянет чужое.","Взятки, Чужое"
"Не та собака кусает, что лает, а та, что молчит да хвостом виляет.","Двуличный, Подхалим"
"Не та хозяйка, которая говорит, а та, которая щи варит.",Болтливость
"Не так живи, как хочется, а как стране нужно.",Жизнь
"Не так живи, чтобы кто кого сможет, тот того и гложет, а так живи, чтобы людям, как себе.",Жизнь
"Не так плох закон, как беззаконие.",Закон
Не так прост простак как кажется.,Простота
"Не так страшен черт, как его малюют.","Страх, Черт"
"Не так страшно окружение, как трусы его малюют.",Окружение
"Не так страшно стадо людей, как один лиходей.",Подлость
"Не так хорошо с детьми, как плохо без них.",Дети
"Не так, так этак.",Не
"Не там вор крадет, где много, а там, где лежит плохо.",Бесхозяйственность
"Не там иди, где дорога, а там, где врагов много.",Маневр
"Не там курочка яйцо снесла, где кудахчет.",Курица
Не танк воюет — танкист.,Танк
"Не твоя чаша, не тебе и пить.",Чужое
"Не тебе бы говорить, да не мне бы слушать.",Слушать
"Не тем славен мир, что люди трубят в трубы, а тем славен мир, что люди людям любы.",Люди
"Не тем час дорог, что долог, а тем, что короток.",Час
"Не терт, не мят, не будет калач.",Калач
Не теряй время попусту: весна пройдет — не воротишь.,Весна
"Не теряй отвагу, назад ни шагу.",Отвага
Не теряй час: вовремя выполняй приказ.,Приказ
"Не теряй чести, в бою будь на месте.",Бой
"Не то дорого, что красного золота, то дорого, что доброго мастера.",Качество
"Не то дорого, что сделано, а то дорого, что хорошего качества.",Качество
"Не то забота, что много работы, а то забота, если нет ее.",Забота
"Не то лётом, не то скоком, а не то и ползком.",Неопределенность
"Не то мило, что хорошо, а то хорошо, что мило.",Милый
"Не то сметка, что бродит, а то сметка, что других водит.",Смекалка
"Не то снег, что метет, а то, что сверху идет.",Снег
"Не то стоя простоять, не то сидя просидеть, не то лежа пролежать.",Лежать
"Не то хлеб, что в поле, а то, что в амбаре.",Уборка [урожая]
"Не то хлеб, что в поле, а то, что в сусеке.",Уборка [урожая]
"Не то хорошо, что хорошо, а то, что к чему идет.",Хорошее
"Не то хорошо, что хорошо, а то, что ладно.",Ладно
"Не то хорошо, что хорошо, а то, что нравится.",Нрав
"Не то худо, что худо, а то, что никуда не годится.","Плохое, Худо"
"Не тогда изучать военное дело, когда время к бою приспело.",Учение
"Не тогда искать стрелы, когда неприятель придет.",Подготовленность
"Не той собаки бойся, что громко лает, а той, что исподтишка хватает.","Лаять, Тихий"
"Не толчено, так не пшено, не молот хлеб — не мука.",Молоть
"Не толченое, так и не пшено; не молот хлеб — не мука!",Мука
"Не только и света, что в окне, — за окном больше.",Свет
"Не только разум, но и сабля — оружие.",Сабля
"Не только сабля, но и разум — оружие.",Оружие
"Не только свету, что в окне, на улицу выйдешь и больше увидишь.",Свет
"Не только тот вор, кто ворует, но и тот, кто ворам потакает.","Вор, Воровство"
Не только штык — и колос врага колет.,Тыл
"Не только штык, но и колос врага колет.",Колос
"Не топор кормит мужика, а июльская работа.","Июль, Лето"
"Не топор кормит, а работа.",Топор
"Не топор тешет, а плотник.",Ремесло
"Не топора бойся, — огня.",Огонь
"Не торопи ездой, торопи кормом.",Корм
"Не торопи умирать, дай состариться!",Торопливость
"Не торопись начинать, спеши кончать.",Начало
"Не торопись начинать, спеши кончить.",Начало
"Не торопись отвечать, торопись слушать.","Слушать, Спешка, Торопливость"
"Не торопись ткать, посмотри в бердо.",Поспешность
Не торопись хватать: одуй пальцы!,Алчность
"Не тот беден, кто прибедняется; не тот богат, кто похваляется.",Хвалиться
"Не тот бедняк, кто добро потерял, а тот, кто достоинство потерял. (татар)",Достоинство
"Не тот большую жизнь прожил, кому много лет, а тот, кто много сделал.",Жизнь
"Не тот борец, кто поборол, а тот, кто вывернулся.",Смекалка
"Не тот впереди, кто обогнал, а тот, кто за собой других ведет.",Передовой
"Не тот глуп, кто на слова скуп, а тот глуп, кто на деле туп.",Дело
"Не тот голова, кто кричит, а тот, кто голову имеет.",Крик
"Не тот грамотен, кто читать умеет, а тот, кто слушает да разумеет.",Грамота
"Не тот джигит, кто только в одном ударе схож с амузгинским* клинком. (дарг)",Джигит
"Не тот друг, кто лестно мажет, а тот, кто правду скажет.",Друг
"Не тот друг, кто медом мажет, а тот, кто правду в глаза скажет.",Друг
"Не тот друг, кто потакает, а тот, кто помогает.",Друг
"Не тот дурак, кого люди хвалят, тот дурак, который сам хвалится.",Хвалиться
"Не тот жаден, у кого мало, а тот, кто хочет большего.",Жадность
"Не тот живет больше, кто живет дольше.",Жизнь
"Не тот живет больше, чей век дольше.","Век, Жизнь"
"Не тот знает, кто много жил, а тот, кто много видел.",Бывалый
"Не тот конь ест овес, который пашет, а тот, что в цирке пляшет.",Лошадь
"Не тот матрос, кто поразвалистей ходит, а тот, кто хорошо в бой водит.",Матрос
"Не тот молодец, кто нашел себе дело, а тот молодец, кто исполняет его умело.","Молодец, Уменье"
"Не тот молодец, у кого бравый вид, а тот, кто победу творит.","Молодец, Молодцеватость, Победа"
